date,ID,주소,연락처,meter
2023-01-01,1,서울시 서초구 바우뫼로 38,010-1234-5678,38
2023-01-02,1,서울시 서초구 바우뫼로 38,010-1234-5678,86
2023-01-03,1,서울시 서초구 바우뫼로 38,010-1234-5678,2
2023-01-04,1,서울시 서초구 바우뫼로 38,010-1234-5678,13
2023-01-05,1,서울시 서초구 바우뫼로 38,010-1234-5678,46
2023-01-06,1,서울시 서초구 바우뫼로 38,010-1234-5678,30
2023-01-07,1,서울시 서초구 바우뫼로 38,010-1234-5678,83
2023-01-08,1,서울시 서초구 바우뫼로 38,010-1234-5678,18
2023-01-09,1,서울시 서초구 바우뫼로 38,010-1234-5678,61
2023-01-10,1,서울시 서초구 바우뫼로 38,010-1234-5678,45
2023-01-11,1,서울시 서초구 바우뫼로 38,010-1234-5678,48
2023-01-12,1,서울시 서초구 바우뫼로 38,010-1234-5678,90
2023-01-13,1,서울시 서초구 바우뫼로 38,010-1234-5678,58
2023-01-14,1,서울시 서초구 바우뫼로 38,010-1234-5678,60
2023-01-15,1,서울시 서초구 바우뫼로 38,010-1234-5678,42
2023-01-16,1,서울시 서초구 바우뫼로 38,010-1234-5678,5
2023-01-17,1,서울시 서초구 바우뫼로 38,010-1234-5678,53
2023-01-18,1,서울시 서초구 바우뫼로 38,010-1234-5678,77
2023-01-19,1,서울시 서초구 바우뫼로 38,010-1234-5678,49
2023-01-20,1,서울시 서초구 바우뫼로 38,010-1234-5678,96
2023-01-21,1,서울시 서초구 바우뫼로 38,010-1234-5678,65
2023-01-22,1,서울시 서초구 바우뫼로 38,010-1234-5678,44
2023-01-23,1,서울시 서초구 바우뫼로 38,010-1234-5678,73
2023-01-24,1,서울시 서초구 바우뫼로 38,010-1234-5678,52
2023-01-25,1,서울시 서초구 바우뫼로 38,010-1234-5678,68
2023-01-26,1,서울시 서초구 바우뫼로 38,010-1234-5678,65
2023-01-27,1,서울시 서초구 바우뫼로 38,010-1234-5678,26
2023-01-28,1,서울시 서초구 바우뫼로 38,010-1234-5678,36
2023-01-29,1,서울시 서초구 바우뫼로 38,010-1234-5678,73
2023-01-30,1,서울시 서초구 바우뫼로 38,010-1234-5678,8
2023-01-31,1,서울시 서초구 바우뫼로 38,010-1234-5678,57
2023-02-01,1,서울시 서초구 바우뫼로 38,010-1234-5678,48
2023-02-02,1,서울시 서초구 바우뫼로 38,010-1234-5678,12
2023-02-03,1,서울시 서초구 바우뫼로 38,010-1234-5678,82
2023-02-04,1,서울시 서초구 바우뫼로 38,010-1234-5678,62
2023-02-05,1,서울시 서초구 바우뫼로 38,010-1234-5678,0
2023-02-06,1,서울시 서초구 바우뫼로 38,010-1234-5678,87
2023-02-07,1,서울시 서초구 바우뫼로 38,010-1234-5678,92
2023-02-08,1,서울시 서초구 바우뫼로 38,010-1234-5678,74
2023-02-09,1,서울시 서초구 바우뫼로 38,010-1234-5678,54
2023-02-10,1,서울시 서초구 바우뫼로 38,010-1234-5678,83
2023-02-11,1,서울시 서초구 바우뫼로 38,010-1234-5678,82
2023-02-12,1,서울시 서초구 바우뫼로 38,010-1234-5678,42
2023-02-13,1,서울시 서초구 바우뫼로 38,010-1234-5678,36
2023-02-14,1,서울시 서초구 바우뫼로 38,010-1234-5678,52
2023-02-15,1,서울시 서초구 바우뫼로 38,010-1234-5678,10
2023-02-16,1,서울시 서초구 바우뫼로 38,010-1234-5678,76
2023-02-17,1,서울시 서초구 바우뫼로 38,010-1234-5678,95
2023-02-18,1,서울시 서초구 바우뫼로 38,010-1234-5678,38
2023-02-19,1,서울시 서초구 바우뫼로 38,010-1234-5678,52
2023-02-20,1,서울시 서초구 바우뫼로 38,010-1234-5678,67
2023-02-21,1,서울시 서초구 바우뫼로 38,010-1234-5678,31
2023-02-22,1,서울시 서초구 바우뫼로 38,010-1234-5678,4
2023-02-23,1,서울시 서초구 바우뫼로 38,010-1234-5678,8
2023-02-24,1,서울시 서초구 바우뫼로 38,010-1234-5678,25
2023-02-25,1,서울시 서초구 바우뫼로 38,010-1234-5678,67
2023-02-26,1,서울시 서초구 바우뫼로 38,010-1234-5678,33
2023-02-27,1,서울시 서초구 바우뫼로 38,010-1234-5678,24
2023-02-28,1,서울시 서초구 바우뫼로 38,010-1234-5678,26
2023-03-01,1,서울시 서초구 바우뫼로 38,010-1234-5678,14
2023-03-02,1,서울시 서초구 바우뫼로 38,010-1234-5678,65
2023-03-03,1,서울시 서초구 바우뫼로 38,010-1234-5678,4
2023-03-04,1,서울시 서초구 바우뫼로 38,010-1234-5678,48
2023-03-05,1,서울시 서초구 바우뫼로 38,010-1234-5678,75
2023-03-06,1,서울시 서초구 바우뫼로 38,010-1234-5678,58
2023-03-07,1,서울시 서초구 바우뫼로 38,010-1234-5678,39
2023-03-08,1,서울시 서초구 바우뫼로 38,010-1234-5678,64
2023-03-09,1,서울시 서초구 바우뫼로 38,010-1234-5678,63
2023-03-10,1,서울시 서초구 바우뫼로 38,010-1234-5678,68
2023-03-11,1,서울시 서초구 바우뫼로 38,010-1234-5678,11
2023-03-12,1,서울시 서초구 바우뫼로 38,010-1234-5678,31
2023-03-13,1,서울시 서초구 바우뫼로 38,010-1234-5678,57
2023-03-14,1,서울시 서초구 바우뫼로 38,010-1234-5678,8
2023-03-15,1,서울시 서초구 바우뫼로 38,010-1234-5678,73
2023-03-16,1,서울시 서초구 바우뫼로 38,010-1234-5678,53
2023-03-17,1,서울시 서초구 바우뫼로 38,010-1234-5678,15
2023-03-18,1,서울시 서초구 바우뫼로 38,010-1234-5678,5
2023-03-19,1,서울시 서초구 바우뫼로 38,010-1234-5678,68
2023-03-20,1,서울시 서초구 바우뫼로 38,010-1234-5678,99
2023-03-21,1,서울시 서초구 바우뫼로 38,010-1234-5678,17
2023-03-22,1,서울시 서초구 바우뫼로 38,010-1234-5678,69
2023-03-23,1,서울시 서초구 바우뫼로 38,010-1234-5678,37
2023-03-24,1,서울시 서초구 바우뫼로 38,010-1234-5678,6
2023-03-25,1,서울시 서초구 바우뫼로 38,010-1234-5678,49
2023-03-26,1,서울시 서초구 바우뫼로 38,010-1234-5678,3
2023-03-27,1,서울시 서초구 바우뫼로 38,010-1234-5678,27
2023-03-28,1,서울시 서초구 바우뫼로 38,010-1234-5678,43
2023-03-29,1,서울시 서초구 바우뫼로 38,010-1234-5678,68
2023-03-30,1,서울시 서초구 바우뫼로 38,010-1234-5678,61
2023-03-31,1,서울시 서초구 바우뫼로 38,010-1234-5678,4
2023-04-01,1,서울시 서초구 바우뫼로 38,010-1234-5678,28
2023-04-02,1,서울시 서초구 바우뫼로 38,010-1234-5678,74
2023-04-03,1,서울시 서초구 바우뫼로 38,010-1234-5678,49
2023-04-04,1,서울시 서초구 바우뫼로 38,010-1234-5678,94
2023-04-05,1,서울시 서초구 바우뫼로 38,010-1234-5678,83
2023-04-06,1,서울시 서초구 바우뫼로 38,010-1234-5678,75
2023-04-07,1,서울시 서초구 바우뫼로 38,010-1234-5678,17
2023-04-08,1,서울시 서초구 바우뫼로 38,010-1234-5678,72
2023-04-09,1,서울시 서초구 바우뫼로 38,010-1234-5678,29
2023-04-10,1,서울시 서초구 바우뫼로 38,010-1234-5678,52
2023-04-11,1,서울시 서초구 바우뫼로 38,010-1234-5678,52
2023-04-12,1,서울시 서초구 바우뫼로 38,010-1234-5678,27
2023-04-13,1,서울시 서초구 바우뫼로 38,010-1234-5678,68
2023-04-14,1,서울시 서초구 바우뫼로 38,010-1234-5678,8
2023-04-15,1,서울시 서초구 바우뫼로 38,010-1234-5678,18
2023-04-16,1,서울시 서초구 바우뫼로 38,010-1234-5678,77
2023-04-17,1,서울시 서초구 바우뫼로 38,010-1234-5678,51
2023-04-18,1,서울시 서초구 바우뫼로 38,010-1234-5678,31
2023-04-19,1,서울시 서초구 바우뫼로 38,010-1234-5678,63
2023-04-20,1,서울시 서초구 바우뫼로 38,010-1234-5678,94
2023-04-21,1,서울시 서초구 바우뫼로 38,010-1234-5678,16
2023-04-22,1,서울시 서초구 바우뫼로 38,010-1234-5678,32
2023-04-23,1,서울시 서초구 바우뫼로 38,010-1234-5678,67
2023-04-24,1,서울시 서초구 바우뫼로 38,010-1234-5678,37
2023-04-25,1,서울시 서초구 바우뫼로 38,010-1234-5678,22
2023-04-26,1,서울시 서초구 바우뫼로 38,010-1234-5678,53
2023-04-27,1,서울시 서초구 바우뫼로 38,010-1234-5678,48
2023-04-28,1,서울시 서초구 바우뫼로 38,010-1234-5678,51
2023-04-29,1,서울시 서초구 바우뫼로 38,010-1234-5678,61
2023-04-30,1,서울시 서초구 바우뫼로 38,010-1234-5678,28
2023-05-01,1,서울시 서초구 바우뫼로 38,010-1234-5678,89
2023-05-02,1,서울시 서초구 바우뫼로 38,010-1234-5678,31
2023-05-03,1,서울시 서초구 바우뫼로 38,010-1234-5678,31
2023-05-04,1,서울시 서초구 바우뫼로 38,010-1234-5678,79
2023-05-05,1,서울시 서초구 바우뫼로 38,010-1234-5678,25
2023-05-06,1,서울시 서초구 바우뫼로 38,010-1234-5678,10
2023-05-07,1,서울시 서초구 바우뫼로 38,010-1234-5678,73
2023-05-08,1,서울시 서초구 바우뫼로 38,010-1234-5678,38
2023-05-09,1,서울시 서초구 바우뫼로 38,010-1234-5678,28
2023-05-10,1,서울시 서초구 바우뫼로 38,010-1234-5678,32
2023-05-11,1,서울시 서초구 바우뫼로 38,010-1234-5678,93
2023-05-12,1,서울시 서초구 바우뫼로 38,010-1234-5678,76
2023-05-13,1,서울시 서초구 바우뫼로 38,010-1234-5678,96
2023-05-14,1,서울시 서초구 바우뫼로 38,010-1234-5678,18
2023-05-15,1,서울시 서초구 바우뫼로 38,010-1234-5678,86
2023-05-16,1,서울시 서초구 바우뫼로 38,010-1234-5678,47
2023-05-17,1,서울시 서초구 바우뫼로 38,010-1234-5678,72
2023-05-18,1,서울시 서초구 바우뫼로 38,010-1234-5678,89
2023-05-19,1,서울시 서초구 바우뫼로 38,010-1234-5678,94
2023-05-20,1,서울시 서초구 바우뫼로 38,010-1234-5678,64
2023-05-21,1,서울시 서초구 바우뫼로 38,010-1234-5678,21
2023-05-22,1,서울시 서초구 바우뫼로 38,010-1234-5678,64
2023-05-23,1,서울시 서초구 바우뫼로 38,010-1234-5678,98
2023-05-24,1,서울시 서초구 바우뫼로 38,010-1234-5678,59
2023-05-25,1,서울시 서초구 바우뫼로 38,010-1234-5678,50
2023-05-26,1,서울시 서초구 바우뫼로 38,010-1234-5678,6
2023-05-27,1,서울시 서초구 바우뫼로 38,010-1234-5678,23
2023-05-28,1,서울시 서초구 바우뫼로 38,010-1234-5678,44
2023-05-29,1,서울시 서초구 바우뫼로 38,010-1234-5678,90
2023-05-30,1,서울시 서초구 바우뫼로 38,010-1234-5678,6
2023-05-31,1,서울시 서초구 바우뫼로 38,010-1234-5678,85
2023-06-01,1,서울시 서초구 바우뫼로 38,010-1234-5678,16
2023-06-02,1,서울시 서초구 바우뫼로 38,010-1234-5678,36
2023-06-03,1,서울시 서초구 바우뫼로 38,010-1234-5678,48
2023-06-04,1,서울시 서초구 바우뫼로 38,010-1234-5678,51
2023-06-05,1,서울시 서초구 바우뫼로 38,010-1234-5678,96
